File,ID
Zymo_Mini_Prep_CS_006_Left_Eye_S79,jhu00106
Zymo_Mini_Prep_CS_007_Right_Eye_S68,jhu00107
Zymo_Mini_Prep_CS_008_Left_Eye_S26,jhu00108
Zymo_Mini_Prep_CS_009_10_Air_Swab_S73,jhu00109
Zymo_Mini_Prep_CS_009_Right_Eye_S71,jhu00110
Zymo_Mini_Prep_CS_010_Left_Eye_S75,jhu00111
Zymo_Mini_Prep_MCS_1_in_OMR_BD801_S9,jhu00112
Zymo_Mini_Prep_MCS_2_in_OMR_BH802_S50,jhu00113
Zymo_Mini_Prep_MCS_7_S25,jhu00114
Zymo_Mini_Prep_MCS_HostZero_3_S20,jhu00115
Zymo_Mini_Prep_MCS_MolYsis_1_S49,jhu00116
Zymo_Mini_Prep_MCS_NEB_5_S76,jhu00117
Zymo_Mini_Prep_OMR1_BD801_S69,jhu00118
Zymo_Mini_Prep_OMR2_BH802_S7,jhu00119
Zymo_Mini_Prep_OMR_8_S36,jhu00120
Zymo_Mini_Prep_OMR_HostZero_4_S1,jhu00121
Zymo_Mini_Prep_OMR_MolYsis_2_S16,jhu00122
Zymo_Mini_Prep_OMR_NEB_6_S55,jhu00123
Zymo_Mini_Prep_Water_S65,jhu00124
10_Zymo_Micro_Prep_CS_010_Right_Eye_S90,jhu00125
11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,jhu00126
12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,jhu00127
13_Zymo_Microprep_MCS_OMR_BD801_S93,jhu00128
14_Zymo_Microprep_OMR_BD801_S94,jhu00129
15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,jhu00130
16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,jhu00131
17_Qiagen_Soil_Pro_CS_003_Left_Eye_S1,jhu00132
18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,jhu00133
19_Qiagen_Soil_Pro_CS_005_Left_Eye_S3,jhu00134
1_Zymo_Micro_Prep_CS_001_Left_Eye_S81,jhu00135
20_Qiagen_Soil_Pro_CS_006_Right_Eye_S4,jhu00136
21_Qiagen_Soil_Pro_CS_007_Left_Eye_S5,jhu00137
22_Qiagen_Soil_Pro_CS_008_Right_Eye_S6,jhu00138
23_Qiagen_Soil_Pro_CS_009_Left_Eye_S7,jhu00139
24_Qiagen_Soil_Pro_CS_010_Right_Eye_S8,jhu00140
25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,jhu00141
26_Qiagen_Soil_Pro_CS_010_Air_Swab_S10,jhu00142
27_Qiagen_Soil_Pro_MCS_OMR_BD801_S11,jhu00143
28_Qiagen_Soil_Pro_OMR_BD801_S12,jhu00144
29_Z_Mini_049_Conj_L_1_S13,jhu00145
2_Zymo_Micro_Prep_CS_002_Right_Eye_S82,jhu00146
30_Z_Mini_049_049_Lid_L_1_S14,jhu00147
31_Z_Mini_049_Skin_L_1_S15,jhu00148
32_Z_Mini_049_Conj_L_2_S16,jhu00149
33_Z_Mini_049_Lid_L_2_S17,jhu00150
34_Z_Mini_049_Skin_L_2_S18,jhu00151
35_Z_Mini_049_Conj_L_3_S19,jhu00152
36_Z_Mini_049_Lid_L_3_S20,jhu00153
37_Z_Mini_049_Skin_L_3_S21,jhu00154
38_Z_Mini_050_Conj_R_1_S22,jhu00155
39_Z_Mini_050_Lid_R_1_S23,jhu00156
3_Zymo_Micro_Prep_CS_003_Left_Eye_S83,jhu00157
40_Z_Mini_050_Skin_R_1_S24,jhu00158
41_Z_Mini_050_Conj_R_2_S25,jhu00159
42_Z_Mini_050_Lid_R_2_S26,jhu00160
43_Z_Mini_050_Skin_R_2_S27,jhu00161
44_Z_Mini_050_Conj_R_3_S28,jhu00162
45_Z_Mini_050_Lid_R_3_S29,jhu00163
46_Z_Mini_050_Skin_R_3_S30,jhu00164
47_Z_Mini_051_Conj_L_1_S31,jhu00165
48_Z_Mini_051_Lid_L_1_S32,jhu00166
49_Z_Mini_051_Skin_L_1_S33,jhu00167
4_Zymo_Micro_Prep_CS_004_Right_Eye_S84,jhu00168
50_Z_Mini_051_Conj_L_2_S34,jhu00169
