Citations,PI,Title,Link,Year
401,Cintia de Paiva,"The incidence and risk factors for developing dry eye after myopic LASIKCS De Paiva, Z Chen, DD Koch, MB Hamill, FK Manuel, SS Hassan, ...American journal of ophthalmology 141 (3), 438-445, 2006",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:_FM0Bhl9EiAC,2006
394,Cintia de Paiva,"Dry eye–induced conjunctival epithelial squamous metaplasia is modulated by interferon-γCS De Paiva, AL Villarreal, RM Corrales, HT Rahman, VY Chang, ...Investigative ophthalmology & visual science 48 (6), 2553-2560, 2007",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:zYLM7Y9cAGgC,2007
394,Cintia de Paiva,"ABCG2 transporter identifies a population of clonogenic human limbal epithelial cellsCS de Paiva, Z Chen, RM Corrales, SC Pflugfelder, DQ LiStem cells 23 (1), 63-73, 2005",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:u-x6o8ySG0sC,2005
390,Cintia de Paiva,"Altered mucosal microbiome diversity and disease severity in Sjögren syndromeCS de Paiva, DB Jones, ME Stern, F Bian, QL Moore, S Corbiere, ...Scientific reports 6 (1), 23561, 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:g3aElNc5_aQC,2016
380,Anthony St.Leger,"Herpes keratitisAM Rowe, AJS Leger, S Jeon, DK Dhaliwal, JE Knickelbein, ...Progress in retinal and eye research 32, 88-101, 2013",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8yV7xm0AAAAJ&citation_for_view=8yV7xm0AAAAJ:mB3voiENLucC,2013
347,Cintia de Paiva,"A randomized, double-masked, placebo-controlled, multicenter comparison of loteprednol etabonate ophthalmic suspension, 0.5%, and placebo for treatment of keratoconjunctivitis …SC Pflugfelder, SL Maskin, B Anderson, J Chodosh, EJ Holland, ...American journal of ophthalmology 138 (3), 444-457, 2004",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:Y0pCki6q_DkC,2004
334,Laura Ensign,"Effect of surface chemistry on nanoparticle interaction with gastrointestinal mucus and distribution in the gastrointestinal tract following oral and rectal administration in …K Maisel, L Ensign, M Reddy, R Cone, J HanesJournal of Controlled Release 197, 48-57, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tM2Fw10AAAAJ&citation_for_view=tM2Fw10AAAAJ:_FxGoFyzp5QC,2015
333,Seesandra V. Rajagopala,"The human microbiome and cancerSV Rajagopala, S Vashee, LM Oldfield, Y Suzuki, JC Venter, A Telenti, ...Cancer Prevention Research 10 (4), 226-234, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OaIOeSYAAAAJ&citation_for_view=OaIOeSYAAAAJ:aqlVkmm33-oC,2017
306,Anthony St.Leger,"An ocular commensal protects against corneal infection by driving an interleukin-17 response from mucosal γδ T cellsAJS Leger, JV Desai, RA Drummond, A Kugadas, F Almaghrabi, P Silver, ...Immunity 47 (1), 148-158. e5, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8yV7xm0AAAAJ&citation_for_view=8yV7xm0AAAAJ:MXK_kJrjxJIC,2017
294,Russell Van Gelder,"Photochemical restoration of visual responses in blind miceA Polosukhina, J Litt, I Tochitsky, J Nemargut, Y Sychev, ...Neuron 75 (2), 271-282, 2012",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:UxriW0iASnsC,2012
