omc_id,sample_id,non_human_reads
uw00178,sb3eaf85fbad5,128728
uw00179,sb4633df913b0,235749
uw00180,sb533d323dd57,148590
uw00181,sb5e7a651e122,183808
uw00182,sb65df208ac5e,701914
uw00183,sb6a979d6b949,70656
uw00184,sb760994480b2,114765
uw00185,sb850df33abef,19011
uw00186,sb8f39441a92a,12415
uw00187,sb909396bcebb,143401
uw00188,sba2270f5bcde,180313
uw00189,sbb874b4422eb,338988
uw00190,sbbdb4305b69a,68933
uw00191,sbf87c30d194e,8706
uw00192,sc039cfe00a6b,85362
uw00193,sc14a10e4d80f,11995
uw00194,sc1b03b62629c,12973
uw00195,sc27e424bdeda,317823
uw00196,sc2e9f2f3e81a,30175
uw00197,sc3a96b3bcc29,169815
uw00198,sc6e1c706f3bc,34935
uw00199,sc7e964329592,212827
uw00200,sc9a1ac7d57d3,95792
uw00201,scb586461ba29,159426
uw00202,scc8939cd0405,585699
uw00203,scd88443fc500,416129
uw00204,scefa48d14413,76542
uw00205,scf9f7edab48d,128333
uw00206,scfcb57f5b75b,176418
uw00207,scff8a9b130c6,101734
uw00208,sd05947d3c878,12296
uw00209,sd126606eb190,12816
uw00210,sd16a088b5f28,173324
uw00211,sd3967449da03,130799
uw00212,sd427a102396d,254719
uw00213,sd4c473c3151d,342323
uw00214,sd62d91394abb,15593
uw00215,sd6b288471bb6,417759
uw00216,sd6c295b45539,7321
uw00217,sd7e189c925d5,171223
uw00218,sda81ba076f96,133920
uw00219,sdb963fc56292,173820
uw00220,sddc79714fe4d,563818
uw00221,sde9f841a4c70,153202
uw00222,sdf6d06c3555f,118947
uw00223,sdff05837e4da,8115
uw00224,se238271fae30,65738
uw00225,se2401281cb98,23744
uw00226,se38b743b0804,215724
uw00227,se59834ae977a,260703
uw00228,se61bde8ca57c,236894
uw00229,se6347ef300b8,65353
uw00230,se64af195bfa0,134860
uw00231,se81a1b6313fb,17073
uw00232,se9220df5312f,71304
uw00233,sedd2f20459fb,100102
uw00234,sedf73fcc9e67,316060
uw00235,see6ec4b172f3,416300
uw00236,sef32bbf0817e,12838
uw00237,sefe6c03d4ca2,38273
uw00238,sf0478e15eb33,143301
uw00239,sf2564feaacc1,208709
uw00240,sf38adf632438,20096
uw00241,sf63de85e8660,314428
uw00242,sf647808684af,18779
uw00243,sf6a6eb7d9800,139021
uw00244,sf6e4a10dbfb1,13065
