omc_id,sample_id,sample_name,non_human_reads,individual_id
pitt00761,0262-HCP030-20250327-ROD-CS,0262-HCP030-20250327-ROD-CS_S115,222948,HCP030
pitt00762,0262-HCP030-20250407-DOD-CS,0262-HCP030-20250407-DOD-CS_S34,149042,HCP030
pitt00763,0262-HCP030-20250407-ROD-CS,0262-HCP030-20250407-ROD-CS_S116,228882,HCP030
pitt00764,0262-HCP030-20250617-DOD-CS,0262-HCP030-20250617-DOD-CS_S72,192234,HCP030
pitt00765,0262-HCP030-20250617-ROD-CS,0262-HCP030-20250617-ROD-CS_S154,271554,HCP030
pitt00766,0262-HCP031-20250429-DOD-CS,0262-HCP031-20250429-DOD-CS_S42,135112,HCP031
pitt00767,0262-HCP031-20250429-ROD-CS,0262-HCP031-20250429-ROD-CS_S124,268064,HCP031
pitt00768,0262-HCP031-20250519-ROD-CS,0262-HCP031-20250519-ROD-CS_S129,185722,HCP031
pitt00769,0262-HCP031-20250716-DOD-CS,0262-HCP031-20250716-DOD-CS_S75,68022,HCP031
pitt00770,0262-HCP031-20250716-ROD-CS,0262-HCP031-20250716-ROD-CS_S157,284356,HCP031
pitt00771,0262-HCP032-20250515-DOD-CS,0262-HCP032-20250515-DOD-CS_S44,328800,HCP032
pitt00772,0262-HCP032-20250515-ROD-CS,0262-HCP032-20250515-ROD-CS_S126,229864,HCP032
pitt00773,0262-HCP032-20250520-DOD-CS,0262-HCP032-20250520-DOD-CS_S48,155206,HCP032
pitt00774,0262-HCP032-20250520-ROD-CS,0262-HCP032-20250520-ROD-CS_S130,209544,HCP032
pitt00775,0262-HCP033-20250515-DOD-CS,0262-HCP033-20250515-DOD-CS_S45,118042,HCP033
pitt00776,0262-HCP033-20250515-ROD-CS,0262-HCP033-20250515-ROD-CS_S127,232862,HCP033
pitt00777,0262-HCP033-20250520-DOD-CS,0262-HCP033-20250520-DOD-CS_S49,171696,HCP033
pitt00778,0262-HCP033-20250520-ROD-CS,0262-HCP033-20250520-ROD-CS_S131,198940,HCP033
pitt00779,0262-HCP034-20250515-DOD-CS,0262-HCP034-20250515-DOD-CS_S46,217616,HCP034
pitt00780,0262-HCP034-20250515-ROD-CS,0262-HCP034-20250515-ROD-CS_S128,204114,HCP034
pitt00781,0262-HCP034-20250527-DOD-CS,0262-HCP034-20250527-DOD-CS_S70,169382,HCP034
pitt00782,0262-HCP034-20250527-ROD-CS,0262-HCP034-20250527-ROD-CS_S152,196824,HCP034
pitt00783,0262-HCP034-20250716-DOD-CS,0262-HCP034-20250716-DOD-CS_S76,152956,HCP034
pitt00784,0262-HCP034-20250716-ROD-CS,0262-HCP034-20250716-ROD-CS_S158,264076,HCP034
pitt00785,0262-HCP035-20250710-DOD-CS,0262-HCP035-20250710-DOD-CS_S73,228362,HCP035
pitt00786,0262-HCP035-20250710-ROD-CS,0262-HCP035-20250710-ROD-CS_S155,330278,HCP035
pitt00787,0262-HCP035-20250716-DOD-CS,0262-HCP035-20250716-DOD-CS_S74,282334,HCP035
pitt00788,0262-HCP035-20250716-ROD-CS,0262-HCP035-20250716-ROD-CS_S156,274348,HCP035
pitt00789,0262-HCP036-20250716-DOD-CS,0262-HCP036-20250716-DOD-CS_S77,212536,HCP036
pitt00790,0262-HCP036-20250716-ROD-CS,0262-HCP036-20250716-ROD-CS_S159,250218,HCP036
pitt00791,0262-HCP036-20250722-DOD-CS,0262-HCP036-20250722-DOD-CS_S78,198836,HCP036
pitt00792,0262-HCP036-20250722-ROD-CS,0262-HCP036-20250722-ROD-CS_S160,238832,HCP036
