omc_id,sample_id,sample_name,non_human_reads,seqcoast_order_id,seqcoast_tube_id,manifest_sample_name,gtdb_species,Isolate name in BCM biobank
bcm00099,8167_006,8167_006_S306,1575620,8167,6,p7_t1_sT_BHIT_C12,Corynebacterium macginleyi,OM058
bcm00100,8167_007,8167_007_S307,2582016,8167,7,p8_t0_sT_BHIT_A4,Corynebacterium lowii,OM060
bcm00101,8167_008,8167_008_S308,2204868,8167,8,p8_t2_sT_BHIT_A1,Corynebacterium lowii,OM061
bcm00102,8167_009,8167_009_S309,1810642,8167,9,p8_t3_sT_BHIT_A7,Corynebacterium lowii,OM062
bcm00103,8167_010,8167_010_S310,2176472,8167,10,p52_t3_sT_BHIT_A3,Corynebacterium macginleyi,OM045
bcm00104,8167_011,8167_011_S311,1680656,8167,11,p52_t0_sG_TSA_H9,Corynebacterium kefirresidentii,OM043
bcm00105,8167_012,8167_012_S312,1467616,8167,12,p57_t3_sT_TSA_F5,Corynebacterium rhinophilum,OM050
bcm00106,8167_013,8167_013_S313,2026210,8167,13,p57_t0_sT_BHIT_A5,Corynebacterium lowii,OM046
bcm00107,8167_014,8167_014_S314,2286640,8167,14,p57_t3_sT_BHIT_A10,Corynebacterium lowii,OM048
bcm00108,8167_015,8167_015_S315,2454020,8167,15,p57_t3_sT_TSA_F3,Corynebacterium aurimucosum_E,OM049
bcm00109,8167_016,8167_016_S316,3034316,8167,16,p89_t0_sC_TSA_C1,Corynebacterium rhinophilum,OM063
